"","Id","Label","Interval","Weight","Dept","Orientation"
"221","MOaFLkMAAAAJ","JULIAN I SCHROEDER ",0,4,"BIO","XD"
"222","1SJPBDAAAAAJ","HANK CHILDS ",0,4,"CS","XD"
"223","aNRlTa8AAAAJ","BERND HAMANN ",0,8,"CS","XD"
"224","yLQF4mkAAAAJ","CHARLESS C FOWLKES ",0,5,"CS","XD"
"225","oY9R5YQAAAAJ","JITENDRA MALIK ",0,5,"CS","XD"
"226","z2foFg4AAAAJ","MICHAEL B EISEN ",0,5,"BIO","XD"
"227","1somGYUAAAAJ","MILTON H SAIER ",0,1,"BIO","BIO"
"228","wKoaJ-4AAAAJ","BIN WANG ",0,4,"BIO","XD"
"229","1tBxBJUAAAAJ","BENHUR LEE ",0,1,"BIO","BIO"
"230","2Ay8qC4AAAAJ","ANNE MOSCONA ",0,1,"BIO","BIO"
"231","1UbzzQcAAAAJ","RAHUL SARPESHKAR ",0,1,"BIO","XD"
"232","VUZOyooAAAAJ","SOUMYAJIT MANDAL ",0,1,"CS","XD"
"233","1WIPsm0AAAAJ","MICHAEL JOSEPH RYAN ",0,1,"BIO","BIO"
"234","1wq5H9oAAAAJ","ROBERT A WEINBERG ",0,2,"BIO","BIO"
"235","AlypgX0AAAAJ","PIYUSH B GUPTA ",0,3,"BIO","XD"
"236","1X-MOE8AAAAJ","LIQUN LUO ",0,1,"BIO","BIO"
"237","jJwwFLIAAAAJ","SACHA B NELSON ",0,1,"BIO","BIO"
"238","1zmDOdwAAAAJ","CHRISTOPHER D MANNING ",0,1,"CS","CS"
"239","2-jY1SQAAAAJ","KEVIN J SULLIVAN ",0,3,"CS","CS"
"240","a_50FBsAAAAJ","MIRYUNG KIM ",0,2,"CS","CS"
"241","aiFvpucAAAAJ","HRIDESH RAJAN ",0,3,"CS","CS"
"242","yx0wJlIAAAAJ","WILLIAM G GRISWOLD ",0,4,"CS","CS"
"243","206DEM0AAAAJ","JOEL T DUDLEY ",0,5,"BIO","BIO"
"244","ejoWKqsAAAAJ","NICHOLAS P TATONETTI ",0,2,"BIO","BIO"
"245","fyf_Vt4AAAAJ","KELLY E ORMOND ",0,3,"BIO","BIO"
"246","s18-KHUAAAAJ","ERIC E SCHADT ",0,8,"BIO","XD"
"247","22aEccUAAAAJ","EDWARD C THERIOT ",0,1,"BIO","BIO"
"248","utnDy7MAAAAJ","ROBERT K JANSEN ",0,2,"BIO","BIO"
"249","28yZqbcAAAAJ","C JOEL MCMANUS ",0,1,"BIO","BIO"
"250","P6QOMhkAAAAJ","PATRICIA J WITTKOPP ",0,2,"BIO","BIO"
"251","2b1nMvgAAAAJ","JIAN HUANG ",0,5,"CS","XD"
"252","95Z6-isAAAAJ","HAN WEI SHEN ",0,1,"CS","CS"
"253","2Bc3UN4AAAAJ","ROBERT T COLLINS ",0,2,"CS","CS"
"254","qYcG-q0AAAAJ","YANXI LIU ",0,2,"CS","CS"
"255","CcbnBvgAAAAJ","JIEBO LUO ",0,7,"CS","XD"
"256","2CYhvK0AAAAJ","GEORGE H PERRY ",0,2,"BIO","BIO"
"257","fUkICMwAAAAJ","JOSEPH K PICKRELL ",0,5,"BIO","XD"
"258","5drv17QAAAAJ","YOAV GILAD ",0,6,"BIO","XD"
"259","2eM6GocAAAAJ","GIOVANNI VIGNA ",0,14,"CS","CS"
"260","tNmIw4MAAAAJ","AMR EL ABBADI ",0,11,"CS","CS"
"261","f0NoTC0AAAAJ","CHRISTOPHER KRUEGEL ",0,13,"CS","CS"
"262","XcaEg-cAAAAJ","DIVYAKANT AGRAWAL ",0,11,"CS","CS"
"263","XrIr0nYAAAAJ","HAITAO ZHENG ",0,12,"CS","CS"
