"","google_id","year","citations","coauthor_codes"
"3325","Qjb5DnwAAAAJ",1990,75,"0,0,0,Qjb5DnwAAAAJ,0"
"3326","QJfhnuYAAAAJ",1990,10,"0,QJfhnuYAAAAJ,0,0"
"3327","qjzNW6EAAAAJ",1990,16,"1,qjzNW6EAAAAJ"
"3328","QKDzX08AAAAJ",1990,3807,"0,0,QKDzX08AAAAJ,0,0"
"3329","qlpCtxAAAAAJ",1990,36,"qlpCtxAAAAAJ,0,0,0"
"3330","qlpCtxAAAAAJ",1990,13,"qlpCtxAAAAAJ,0"
"3331","qlpCtxAAAAAJ",1990,166,"qlpCtxAAAAAJ,0,0,0,0"
"3332","qlpCtxAAAAAJ",1990,5,"qlpCtxAAAAAJ,0"
"3333","qlpCtxAAAAAJ",1990,2,"0,qlpCtxAAAAAJ,0,0"
"3334","qLuAbhMAAAAJ",1990,18,"1,1,1,qLuAbhMAAAAJ"
"3335","qLuAbhMAAAAJ",1990,36,"1,qLuAbhMAAAAJ"
"3336","qMOS01AAAAAJ",1990,71,"qMOS01AAAAAJ,1"
