"","Source","Target","Type","Id","Label","Interval","Weight"
"167","26h2MnAAAAAJ","oXX9SUQAAAAJ","Direct","26h2MnAAAAAJ_oXX9SUQAAAAJ","Direct","",1
"168","27ytbx8AAAAJ","kzk6nJEAAAAJ","Direct","27ytbx8AAAAJ_kzk6nJEAAAAJ","Direct","",1
"169","2Bbi09MAAAAJ","uEC8IQQAAAAJ","Direct","2Bbi09MAAAAJ_uEC8IQQAAAAJ","Direct","",1
"170","2Bc3UN4AAAAJ","qYcG-q0AAAAJ","Direct","2Bc3UN4AAAAJ_qYcG-q0AAAAJ","Direct","",1
"171","2Bc3UN4AAAAJ","LQ87h3sAAAAJ","Direct","2Bc3UN4AAAAJ_LQ87h3sAAAAJ","Direct","",1
"172","2Bc3UN4AAAAJ","ZxXBaswAAAAJ","Direct","2Bc3UN4AAAAJ_ZxXBaswAAAAJ","Direct","",1
"173","2ewb-10AAAAJ","wQdo-bMAAAAJ","Direct","2ewb-10AAAAJ_wQdo-bMAAAAJ","Direct","",1
"174","2ewb-10AAAAJ","ElqwScwAAAAJ","Direct","2ewb-10AAAAJ_ElqwScwAAAAJ","Direct","",1
"175","ElqwScwAAAAJ","BnxU9TEAAAAJ","Direct","ElqwScwAAAAJ_BnxU9TEAAAAJ","Direct","",1
"176","2ewb-10AAAAJ","BnxU9TEAAAAJ","Direct","2ewb-10AAAAJ_BnxU9TEAAAAJ","Direct","",1
"177","2FbkAzYAAAAJ","t-VqN7sAAAAJ","Direct","2FbkAzYAAAAJ_t-VqN7sAAAAJ","Direct","",1
"178","t-VqN7sAAAAJ","tpoh43QAAAAJ","Direct","t-VqN7sAAAAJ_tpoh43QAAAAJ","Direct","",1
"179","2FbkAzYAAAAJ","tpoh43QAAAAJ","Direct","2FbkAzYAAAAJ_tpoh43QAAAAJ","Direct","",1
"180","2FbkAzYAAAAJ","qnwjcfAAAAAJ","Direct","2FbkAzYAAAAJ_qnwjcfAAAAAJ","Direct","",1
"181","2FbkAzYAAAAJ","jM1cT4QAAAAJ","Direct","2FbkAzYAAAAJ_jM1cT4QAAAAJ","Direct","",1
"182","2FbkAzYAAAAJ","nbpafUkAAAAJ","Direct","2FbkAzYAAAAJ_nbpafUkAAAAJ","Direct","",1
"183","nbpafUkAAAAJ","qnwjcfAAAAAJ","Direct","nbpafUkAAAAJ_qnwjcfAAAAAJ","Direct","",1
"184","2FbkAzYAAAAJ","YOVZiJkAAAAJ","Direct","2FbkAzYAAAAJ_YOVZiJkAAAAJ","Direct","",1
"185","YOVZiJkAAAAJ","qnwjcfAAAAAJ","Direct","YOVZiJkAAAAJ_qnwjcfAAAAAJ","Direct","",1
"186","qnwjcfAAAAAJ","jM1cT4QAAAAJ","Direct","qnwjcfAAAAAJ_jM1cT4QAAAAJ","Direct","",1
"187","2FbkAzYAAAAJ","5oU0wxcAAAAJ","Direct","2FbkAzYAAAAJ_5oU0wxcAAAAJ","Direct","",1
"188","2ftJYXMAAAAJ","r42-hFIAAAAJ","Direct","2ftJYXMAAAAJ_r42-hFIAAAAJ","Direct","",1
"189","2ftJYXMAAAAJ","CUO0vDcAAAAJ","Direct","2ftJYXMAAAAJ_CUO0vDcAAAAJ","Direct","",1
"190","2gggOEIAAAAJ","x7viPbgAAAAJ","Direct","2gggOEIAAAAJ_x7viPbgAAAAJ","Direct","",1
"191","2hemeGMAAAAJ","IQosWycAAAAJ","Direct","2hemeGMAAAAJ_IQosWycAAAAJ","Direct","",1
"192","2HR9-igAAAAJ","bsROXv0AAAAJ","Direct","2HR9-igAAAAJ_bsROXv0AAAAJ","Direct","",1
"193","2i7uayYAAAAJ","FJ-huxgAAAAJ","Direct","2i7uayYAAAAJ_FJ-huxgAAAAJ","Direct","",1
"194","2i7uayYAAAAJ","WH2KmRgAAAAJ","Direct","2i7uayYAAAAJ_WH2KmRgAAAAJ","Direct","",1
"195","2kXsgI4AAAAJ","JWXlepgAAAAJ","Direct","2kXsgI4AAAAJ_JWXlepgAAAAJ","Direct","",1
"196","2kXsgI4AAAAJ","Zc018qEAAAAJ","Direct","2kXsgI4AAAAJ_Zc018qEAAAAJ","Direct","",1
"197","2LQimEIAAAAJ","JNLOr38AAAAJ","Direct","2LQimEIAAAAJ_JNLOr38AAAAJ","Direct","",1
"198","2M8BWDkAAAAJ","90qiDCwAAAAJ","Direct","2M8BWDkAAAAJ_90qiDCwAAAAJ","Direct","",1
"199","2mjUsP8AAAAJ","UmwJklEAAAAJ","Direct","2mjUsP8AAAAJ_UmwJklEAAAAJ","Direct","",1
"200","2mjUsP8AAAAJ","L1pb8GUAAAAJ","Direct","2mjUsP8AAAAJ_L1pb8GUAAAAJ","Direct","",1
"201","UmwJklEAAAAJ","L1pb8GUAAAAJ","Direct","UmwJklEAAAAJ_L1pb8GUAAAAJ","Direct","",1
"202","2mkaUvkAAAAJ","FyhRqdYAAAAJ","Direct","2mkaUvkAAAAJ_FyhRqdYAAAAJ","Direct","",1
